,NAME,APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,INCOME_AMT,ASK_AMT,IS_SUCCESSFUL
152,HUMBLE ISD EDUCATIONAL SUPPORT GROUPS INC,T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,34879,0
153,Other,T6,Independent,C2000,ProductDev,Trust,0,5000,0
154,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,205120,0
155,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
156,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
157,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
158,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,0,5000,0
159,Other,T3,Independent,C2000,Preservation,Trust,100000-499999,12829,1
160,Other,T3,Independent,Other,Preservation,Trust,1-99999,452970,1
161,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,72961,1
162,AMVETS,T19,Independent,C1000,Preservation,Association,0,5000,1
163,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
164,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
165,Other,T4,Independent,C1000,ProductDev,Co-operative,0,5000,1
166,SLOW FOOD USA INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
167,Other,T3,Independent,Other,ProductDev,Trust,1-99999,12860,1
168,VFW AUXILIARY DEPT OF HAWAII,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
169,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
170,DEPARTMENT OF OREGON LADIES AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
171,Other,Other,Independent,C1000,ProductDev,Trust,0,5000,1
172,DEPARTMENT OF ALABAMA AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
173,UNIVERSITY OF WYOMING,T3,CompanySponsored,Other,Preservation,Association,0,5000,0
174,Other,T3,Independent,C1200,Preservation,Trust,1-99999,696502,0
175,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
176,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
177,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
178,Other,T3,CompanySponsored,Other,Preservation,Association,100000-499999,259589,0
179,Other,T4,Independent,C1000,ProductDev,Trust,0,5000,0
180,Other,T3,Independent,C1200,Preservation,Trust,0,5000,0
181,Other,T3,Independent,Other,Preservation,Trust,1-99999,5213,0
182,DEPARTMENT OF ALABAMA AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
183,Other,T6,Independent,C1000,ProductDev,Trust,0,5000,1
184,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
185,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,0,5000,0
186,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,T4,CompanySponsored,C3000,ProductDev,Association,0,5000,1
187,Other,T6,Independent,C1000,ProductDev,Trust,1-99999,49112,1
188,SWEET ADELINES INTERNATIONAL,T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
189,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
190,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
191,INTERNATIONAL MOUNTAIN BICYCLING ASSOCIATION - COLORADO,T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,86584,1
192,DEPARTMENT OF OREGON LADIES AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
193,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC,T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
194,Other,T3,Independent,C1000,Preservation,Trust,1-99999,4108874,1
195,Other,Other,Independent,C1000,ProductDev,Co-operative,1M+,25175802,1
196,Other,Other,Independent,C1000,ProductDev,Trust,0,5000,1
197,Other,T5,Independent,C1000,ProductDev,Co-operative,1-99999,132449,1
198,CIVITAN INTERNATIONAL,T4,CompanySponsored,C1000,Preservation,Association,0,5000,0
199,Other,T3,Independent,Other,Preservation,Association,0,5000,1
200,FLORIDA STATE UNIVERSITY ALUMNI ASSOCIATION,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
201,THETA NU XI MULTICULTURAL SORORITY INC,Other,CompanySponsored,C1000,ProductDev,Association,0,5000,0
202,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
203,Other,T3,Independent,C1200,Preservation,Trust,1-99999,73686,1
204,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
205,Other,T6,Independent,C2000,ProductDev,Trust,0,5000,1
206,Other,T3,Independent,C1000,Preservation,Trust,1-99999,723426,1
207,SLOW FOOD USA INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
208,SONS OF ITALY IN AMERICA,Other,CompanySponsored,C1000,Preservation,Association,0,5000,1
209,Other,T5,Independent,C1000,ProductDev,Trust,0,5000,1
210,Other,T3,Independent,C2000,Preservation,Trust,100000-499999,521883,1
211,Other,T3,Independent,C2000,Preservation,Association,0,5000,0
212,Other,T3,Independent,C1200,Preservation,Trust,1-99999,855350,1
213,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
214,SNOHOMISH HIGH SCHOOL PANTHER PARENTS CLUB,T3,CompanySponsored,C1000,Preservation,Association,0,5000,0
215,Other,Other,Independent,C1000,ProductDev,Trust,0,5000,1
216,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
217,Other,T3,Independent,C2000,Preservation,Trust,100000-499999,370941,1
218,INFRAGARD NATIONAL MEMBERS ALLIANCE INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
219,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
220,Other,T3,Independent,C1200,Preservation,Trust,1-99999,5000,1
221,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
222,Other,T3,Independent,C1200,Preservation,Association,0,5000,1
223,SONS OF CONFEDERATE VETERANS INC,T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
224,Other,T3,Independent,C2000,Preservation,Trust,100000-499999,1728949,1
225,Other,T3,Independent,C1200,Preservation,Trust,0,5000,0
226,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
227,Other,Other,Independent,C1000,Preservation,Association,0,5000,0
228,Other,Other,Independent,C1000,ProductDev,Trust,1M+,287332,0
229,Other,T6,Independent,C1000,ProductDev,Trust,1M+,1790960,1
230,CALIFORNIA TEACHERS ASSOCIATION,T5,CompanySponsored,C3000,ProductDev,Association,1-99999,23799,0
231,Other,T3,Independent,C1200,Preservation,Trust,100000-499999,201655,1
232,THE OREGON STATE FEDERATION OF GARDEN CLUBS INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
233,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
234,ASIAN PACIFIC AMERICAN INTERNAL REVENUE EMPLOYEES,T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
235,AMERICAN CANCER SOCIETY INC,T3,CompanySponsored,Other,Preservation,Association,1M+,27285052,1
236,THE OREGON STATE FEDERATION OF GARDEN CLUBS INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
237,Other,T5,Independent,C2000,ProductDev,Trust,1-99999,7139,1
238,Other,T3,Independent,C1000,Preservation,Trust,1-99999,74643,1
239,WASHINGTON STATE UNIVERSITY,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
240,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
241,Other,T3,Independent,C1000,Preservation,Trust,1-99999,640921,0
242,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,2705244,0
243,Other,T3,Independent,C1200,Preservation,Trust,1M+,2770474,1
244,PROFESSIONAL LOADMASTER ASSOCIATION,Other,CompanySponsored,C1000,Preservation,Association,0,5000,0
245,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
246,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
247,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
248,Other,T3,CompanySponsored,C1000,Preservation,Co-operative,0,5000,0
249,FLORIDA GOVERNMENT FINANCE OFFICERS ASSOCIATION INC,T6,CompanySponsored,C2000,ProductDev,Association,0,5000,0
250,FLORIDA GOVERNMENT FINANCE OFFICERS ASSOCIATION INC,T6,CompanySponsored,C2000,ProductDev,Association,0,5000,0
251,FLORIDA GOVERNMENT FINANCE OFFICERS ASSOCIATION INC,T6,CompanySponsored,C3000,ProductDev,Association,0,5000,0
252,FLORIDA GOVERNMENT FINANCE OFFICERS ASSOCIATION INC,T6,CompanySponsored,C2000,ProductDev,Association,0,5000,0
253,FLORIDA GOVERNMENT FINANCE OFFICERS ASSOCIATION INC,T6,CompanySponsored,C3000,ProductDev,Association,0,5000,0
254,FLORIDA GOVERNMENT FINANCE OFFICERS ASSOCIATION INC,T6,CompanySponsored,C2000,ProductDev,Association,0,5000,0
255,FLORIDA GOVERNMENT FINANCE OFFICERS ASSOCIATION INC,T6,CompanySponsored,C2000,ProductDev,Association,0,5000,0
256,FLORIDA GOVERNMENT FINANCE OFFICERS ASSOCIATION INC,T6,CompanySponsored,C2000,ProductDev,Association,0,5000,0
257,Other,T3,Independent,Other,Preservation,Trust,0,5000,0
258,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
259,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,61686,0
260,Other,T3,Independent,C1000,Preservation,Trust,1M+,1064584,1
261,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
262,Other,T3,Independent,C1000,Preservation,Trust,1-99999,25736,1
263,HOLIDAY RAMBLER RECREATIONAL VEHICLE CLUB INC,Other,CompanySponsored,C1000,ProductDev,Association,0,5000,1
264,Other,T3,Independent,C1000,Heathcare,Trust,1M+,17512616,1
265,Other,T3,Independent,C1200,Preservation,Trust,100000-499999,39064,1
266,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
267,ALPHA PHI SIGMA,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
268,LA LECHE LEAGUE INTERNATIONAL INC,T3,CompanySponsored,C2100,Preservation,Association,0,5000,0
269,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
270,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
271,Other,Other,Independent,C1000,ProductDev,Association,0,5000,0
272,Other,T3,Independent,C1000,Preservation,Trust,1-99999,67654,0
273,DEPT OF GEORGIA LADIES AUXILIARY TO THE VFW OF THE UNITED STATES,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
274,VETERANS FOR PEACE INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
275,NATIONAL FEDERATION OF MUSIC CLUBS,T3,CompanySponsored,C2000,Preservation,Association,1-99999,139694,0
276,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
277,MARINE CORPS LEAGUE,Other,CompanySponsored,C1000,ProductDev,Association,0,5000,0
278,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
279,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
280,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
281,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
282,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
283,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
284,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
285,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
286,Other,T3,Independent,C1000,Preservation,Trust,1-99999,5000,1
287,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
288,Other,T4,Independent,C3000,ProductDev,Trust,0,5000,1
289,COLLEGE AND UNIVERSITY PROFESSIONAL ASSOCIATION FOR HUMAN SERVICES,T3,CompanySponsored,C2100,Preservation,Trust,0,5000,0
290,DEPARTMENT OF NEW MEXICO VETERANS OF FOREIGN WARS OF THE US AUXILIAR,T19,CompanySponsored,C1000,ProductDev,Trust,0,5000,0
291,DEPARTMENT OF NEW MEXICO VETERANS OF FOREIGN WARS OF THE US AUXILIAR,T19,CompanySponsored,C1000,ProductDev,Trust,0,5000,0
292,DEPARTMENT OF NEW MEXICO VETERANS OF FOREIGN WARS OF THE US AUXILIAR,T19,CompanySponsored,C1000,ProductDev,Trust,0,5000,0
293,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
294,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
295,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
296,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
297,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
298,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
299,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
300,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
301,Other,T3,Independent,C2000,Preservation,Trust,0,5000,0
302,BLUE STAR MOTHERS OF AMERICA INC,T3,CompanySponsored,C1000,Preservation,Association,0,5000,0
303,Other,T3,Independent,Other,Preservation,Trust,100000-499999,212362,1
304,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
305,Other,T3,Independent,C1000,Preservation,Trust,1-99999,87981,0
306,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
307,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
308,Other,T3,Independent,C1200,Preservation,Trust,1-99999,16027,1
309,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
310,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
311,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
312,Other,T3,Independent,C1000,Preservation,Trust,1-99999,1066994,1
313,Other,T6,Independent,C2000,ProductDev,Trust,1-99999,107484,1
314,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
315,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,9860,1
316,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
317,WASHINGTON STATE UNIVERSITY,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
318,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
319,Other,T5,Independent,C3000,ProductDev,Association,0,5000,0
320,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
321,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,20380,1
322,ROTARY INTERNATIONAL,T4,CompanySponsored,C3000,Preservation,Trust,0,5000,0
323,WASHINGTON STATE UNIVERSITY,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
324,Other,T3,Independent,C1000,Preservation,Association,0,5000,1
325,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
326,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,293732,0
327,Other,Other,Independent,C1000,Preservation,Co-operative,0,5000,1
328,Other,T3,Independent,Other,Preservation,Trust,1-99999,2471994,1
329,SONS OF CONFEDERATE VETERANS INC,T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
